var1,var2,var3,var4,var5,var6,var7
1445144423722_0020_m_000000_0,1445144423722,0020,01,000002,04DN8IQ.fareast.corp.microsoft.com,54883
1445144423722_0020_m_000001_0,1445144423722,0020,01,000003,MININT-FNANLI5.fareast.corp.microsoft.com,52368
1445144423722_0020_m_000002_0,1445144423722,0020,01,000004,MININT-FNANLI5.fareast.corp.microsoft.com,52368
1445144423722_0020_m_000003_0,1445144423722,0020,01,000005,MSRA-SA-41.fareast.corp.microsoft.com,7109
1445144423722_0020_m_000004_0,1445144423722,0020,01,000006,MSRA-SA-41.fareast.corp.microsoft.com,7109
1445144423722_0020_m_000005_0,1445144423722,0020,01,000007,MSRA-SA-41.fareast.corp.microsoft.com,7109
1445144423722_0020_m_000006_0,1445144423722,0020,01,000008,MSRA-SA-41.fareast.corp.microsoft.com,7109
1445144423722_0020_m_000007_0,1445144423722,0020,01,000009,MSRA-SA-41.fareast.corp.microsoft.com,7109
1445144423722_0020_m_000008_0,1445144423722,0020,01,000010,MSRA-SA-39.fareast.corp.microsoft.com,28345
1445144423722_0020_m_000009_0,1445144423722,0020,01,000011,MSRA-SA-39.fareast.corp.microsoft.com,28345
